lif/9symml,2,12,233
alu4_cl,2,31,1232
big2,2,22,9627
C1355.iscas,2,12,214
C6288.iscas,2,90,2408
cht,2,5,339
CM138,2,4,30
DES,2,14,6798
i2,2,11,231
i3,2,6,126
i4,2,8,246
k2,2,14,2876
sample01,2,4,7
sample02,2,4,12
z4ml,2,8,252
lif/9symml,3,7,149
alu4_cl,3,16,922
big2,3,12,6750
C1355.iscas,3,9,172
C6288.iscas,3,45,989
cht,3,4,194
CM138,3,2,17
DES,3,9,5476
i2,3,7,192
i3,3,4,114
i4,3,5,182
k2,3,9,2341
sample01,3,2,4
sample02,3,2,7
z4ml,3,6,199
lif/9symml,4,6,109
alu4_cl,4,12,763
big2,4,10,5557
C1355.iscas,4,4,74
C6288.iscas,4,26,734
cht,4,3,69
CM138,4,2,21
DES,4,6,3985
i2,4,5,101
i3,4,3,50
i4,4,4,142
k2,4,7,1464
sample01,4,1,2
sample02,4,2,5
z4ml,4,4,106
lif/9symml,5,5,73
alu4_cl,5,9,555
big2,5,8,5124
C1355.iscas,5,4,74
C6288.iscas,5,23,748
cht,5,2,40
CM138,5,2,21
DES,5,6,3945
i2,5,5,87
i3,5,3,46
i4,5,3,82
k2,5,6,1373
sample01,5,1,2
sample02,5,1,3
z4ml,5,4,53
lif/9symml,6,4,48
alu4_cl,6,8,483
big2,6,7,3729
C1355.iscas,6,4,74
C6288.iscas,6,20,608
cht,6,1,36
CM138,6,1,8
DES,6,3,977
i2,6,4,68
i3,6,3,46
i4,6,3,78
k2,6,5,1170
sample01,6,1,2
sample02,6,1,3
z4ml,6,3,28
lif/9symml,7,3,28
alu4_cl,7,7,316
big2,7,6,2363
C1355.iscas,7,4,79
C6288.iscas,7,15,498
cht,7,1,36
CM138,7,1,8
DES,7,3,1176
i2,7,4,64
i3,7,3,46
i4,7,3,50
k2,7,5,974
sample01,7,1,2
sample02,7,1,3
z4ml,7,1,4
lif/9symml,8,3,10
alu4_cl,8,6,294
big2,8,5,1194
C1355.iscas,8,3,80
C6288.iscas,8,12,304
cht,8,1,36
CM138,8,1,8
DES,8,3,1119
i2,8,4,53
i3,8,2,26
i4,8,3,50
k2,8,5,808
sample01,8,1,2
sample02,8,1,3
z4ml,8,1,4
lif/9symml,9,1,1
alu4_cl,9,5,152
big2,9,4,367
C1355.iscas,9,3,80
C6288.iscas,9,11,345
cht,9,1,36
CM138,9,1,8
DES,9,2,662
i2,9,3,49
i3,9,2,26
i4,9,3,50
k2,9,4,747
sample01,9,1,2
sample02,9,1,3
z4ml,9,1,4
lif/9symml,10,1,1
alu4_cl,10,5,129
big2,10,1,10
C1355.iscas,10,3,66
C6288.iscas,10,10,287
cht,10,1,36
CM138,10,1,8
DES,10,2,550
i2,10,3,39
i3,10,2,26
i4,10,3,50
k2,10,4,654
sample01,10,1,2
sample02,10,1,3
z4ml,10,1,4
lif/9symml,11,1,1
alu4_cl,11,4,54
big2,11,1,10
C1355.iscas,11,3,66
C6288.iscas,11,9,300
cht,11,1,36
CM138,11,1,8
DES,11,2,494
i2,11,3,36
i3,11,2,26
i4,11,2,22
k2,11,4,536
sample01,11,1,2
sample02,11,1,3
z4ml,11,1,4
lif/9symml,12,1,1
alu4_cl,12,3,42
big2,12,1,10
C1355.iscas,12,3,66
C6288.iscas,12,8,226
cht,12,1,36
CM138,12,1,8
DES,12,2,478
i2,12,3,36
i3,12,2,18
i4,12,2,30
k2,12,3,424
sample01,12,1,2
sample02,12,1,3
z4ml,12,1,4
lif/9symml,13,1,1
alu4_cl,13,2,13
big2,13,1,10
C1355.iscas,13,3,66
C6288.iscas,13,7,233
cht,13,1,36
CM138,13,1,8
DES,13,2,422
i2,13,3,36
i3,13,2,18
i4,13,2,26
k2,13,3,347
sample01,13,1,2
sample02,13,1,3
z4ml,13,1,4
lif/9symml,14,1,1
alu4_cl,14,1,8
big2,14,1,10
C1355.iscas,14,2,40
C6288.iscas,14,7,221
cht,14,1,36
CM138,14,1,8
DES,14,2,422
i2,14,3,35
i3,14,2,18
i4,14,2,22
k2,14,3,276
sample01,14,1,2
sample02,14,1,3
z4ml,14,1,4
lif/9symml,15,1,1
alu4_cl,15,1,8
big2,15,1,10
C1355.iscas,15,2,40
C6288.iscas,15,6,215
cht,15,1,36
CM138,15,1,8
DES,15,2,310
i2,15,3,35
i3,15,2,18
i4,15,2,22
k2,15,3,228
sample01,15,1,2
sample02,15,1,3
z4ml,15,1,4
lif/9symml,16,1,1
alu4_cl,16,1,8
big2,16,1,10
C1355.iscas,16,2,40
C6288.iscas,16,5,173
cht,16,1,36
CM138,16,1,8
DES,16,2,310
i2,16,3,16
i3,16,2,18
i4,16,2,22
k2,16,3,201
sample01,16,1,2
sample02,16,1,3
z4ml,16,1,4
